"player1_id","player2_id","player1_ioc","player2_ioc","player1_age","player2_age","player1_ht","player2_ht","player1_hand","player2_hand","player1_ace","player2_ace","player1_df","player2_df","player1_svpt","player2_svpt","player1_1stin","player2_1stin","player1_1stwon","player2_1stwon","player1_2ndwon","player2_2ndwon","player1_bpsaved","player2_bpsaved","player1_bpfaced","player2_bpfaced","player1_svgms","player2_svgms","player1_rank","player2_rank","player1_rank_pts","player2_rank_pts","tourney_name","date","best_of","minutes","surface_Carpet","surface_Clay","surface_Grass","surface_Hard","diff_age","diff_ht","diff_rank","diff_rank_pts","diff_ace","diff_df","diff_svpt","diff_1stin","diff_1stwon","diff_2ndwon","diff_bpsaved","diff_bpfaced","diff_svgms","player1_1st_serve_pct","player2_1st_serve_pct","player1_1st_won_pct","player2_1st_won_pct","player1_bp_save_pct","player2_bp_save_pct","player1_total_points_won_pct","player2_total_points_won_pct","diff_1st_serve_pct","diff_1st_won_pct","diff_bp_save_pct","diff_total_points_won_pct","y"
101320,102021,"SWE","USA",33,27.8,185,175,"R","R",6,0,6,1,85,68,55,35,37,24,14,16,9,6,12,9,11,12,60,50,626,722,"Auckland",20000110,3,113,0,0,0,1,5.2,10,-10,-96,6,5,17,20,13,-2,3,3,-1,0.647058823529412,0.514705882352941,0.672727272727273,0.685714285714286,0.75,0.666666666666667,0.6,0.588235294117647,0.132352941176471,-0.012987012987013,0.0833333333333334,0.0117647058823529,0
102854,103292,"NED","ARG",23.3,21,193,175,"R","R",2,1,1,2,48,60,24,41,13,30,10,9,7,8,11,8,7,8,37,72,843,553,"Auckland",20000110,3,61,0,0,0,1,2.3,18,35,290,1,-1,-12,-17,-17,1,-1,3,-1,0.5,0.683333333333333,0.541666666666667,0.731707317073171,0.636363636363636,1,0.479166666666667,0.65,-0.183333333333333,-0.190040650406504,-0.363636363636364,-0.170833333333333,0
101820,102796,"SUI","SWE",29.1,23.6,201,188,"R","R",5,7,7,2,55,55,27,31,21,25,7,12,4,2,8,2,8,8,46,14,761,1498,"Auckland",20000110,3,65,0,0,0,1,5.5,13,-32,-737,-2,5,0,-4,-4,-5,2,6,0,0.490909090909091,0.563636363636364,0.777777777777778,0.806451612903226,0.5,1,0.509090909090909,0.672727272727273,-0.0727272727272727,-0.028673835125448,-0.5,-0.163636363636364,0
102021,102607,"USA","ESP",27.8,24.5,175,190,"R","R",5,5,0,2,82,90,51,72,36,43,16,9,8,8,10,12,13,13,50,211,722,157,"Auckland",20000110,3,105,0,0,0,1,3.3,-15,161,565,0,-2,-8,-21,-7,7,0,-2,0,0.621951219512195,0.8,0.705882352941177,0.597222222222222,0.8,0.666666666666667,0.634146341463415,0.577777777777778,-0.178048780487805,0.108660130718954,0.133333333333333,0.0563685636856369,1
102796,103292,"SWE","ARG",23.6,21,188,175,"R","R",4,1,1,3,59,73,38,46,26,25,13,13,4,5,7,10,11,11,14,72,1498,553,"Auckland",20000110,3,90,0,0,0,1,2.6,13,58,945,3,-2,-14,-8,1,0,-1,-3,0,0.64406779661017,0.63013698630137,0.68421052631579,0.543478260869565,0.571428571428571,0.5,0.661016949152542,0.520547945205479,0.0139308103087996,0.140732265446224,0.0714285714285714,0.140469003947063,1
102021,102796,"USA","SWE",27.8,23.6,175,188,"R","R",3,6,4,8,102,87,54,50,38,41,18,12,5,3,10,7,15,15,50,14,722,1498,"Auckland",20000110,3,140,0,0,0,1,4.2,-13,-36,-776,-3,-4,15,4,-3,6,2,3,0,0.529411764705882,0.574712643678161,0.703703703703704,0.82,0.5,0.428571428571429,0.549019607843137,0.609195402298851,-0.0453008789722785,-0.116296296296296,0.0714285714285715,-0.0601757944557133,0
103017,102247,"GER","ITA",22.8,26.8,183,183,"R","R",0,1,4,3,53,50,24,35,11,19,12,8,5,4,10,8,8,8,8,74,1874,575,"St. Poelten",20000522,3,76,0,1,0,0,-4,0,66,1299,-1,1,3,-11,-8,4,1,2,0,0.452830188679245,0.7,0.458333333333333,0.542857142857143,0.5,0.5,0.433962264150943,0.54,-0.247169811320755,-0.0845238095238095,0,-0.106037735849057,0
103242,102287,"ESP","ESP",21.8,26.5,178,188,"R","R",0,4,2,6,71,74,46,35,22,26,13,22,3,2,9,5,12,13,399,71,63,589,"St. Poelten",20000522,3,87,0,1,0,0,-4.7,-10,-328,-526,-4,-4,-3,11,-4,-9,1,4,-1,0.647887323943662,0.472972972972973,0.478260869565217,0.742857142857143,0.333333333333333,0.4,0.492957746478873,0.648648648648649,0.174914350970689,-0.264596273291925,-0.0666666666666667,-0.155690902169775,0
102987,102869,"BRA","ESP",23,23.6,185,173,"R","R",0,1,3,0,25,21,11,12,4,7,4,7,0,0,4,1,4,5,86,70,481,593,"St. Poelten",20000522,3,36,0,1,0,0,-0.600000000000001,12,-16,-112,-1,3,4,-1,-3,-3,0,3,-1,0.44,0.571428571428571,0.363636363636364,0.583333333333333,0,0,0.32,0.666666666666667,-0.131428571428571,-0.21969696969697,0,-0.346666666666667,0
103082,103819,"GER","SUI",22.5,18.7,188,185,"R","R",0,2,0,2,36,64,17,36,14,19,15,10,0,6,0,11,7,8,94,54,428,735,"St. Poelten",20000522,3,54,0,1,0,0,3.8,3,-40,-307,-2,-2,-28,-19,-5,5,-6,-11,-1,0.472222222222222,0.5625,0.823529411764706,0.527777777777778,1,0.545454545454545,0.805555555555556,0.453125,-0.0902777777777778,0.295751633986928,0.454545454545455,0.352430555555556,1
