"match_id","player1_id","player2_id","p1_winrate","p1_matches_played","p1_avg_svpt","p1_avg_ace","p1_avg_df","p1_avg_duration","p2_winrate","p2_matches_played","p2_avg_svpt","p2_avg_ace","p2_avg_df","p2_avg_duration","surface","best_of","match_weekday","match_month","season_phase","y"
75,102965,101969,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
76,103082,102494,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
77,102538,103181,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
78,103714,102106,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
79,101611,102233,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
80,102259,102965,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
81,102538,103082,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
82,101611,102106,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
83,103082,101611,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
84,103082,102259,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
85,103163,101543,NA,0,NA,NA,NA,NA,0,1,83,5,2,128,"Hard",3,"Mo",1,"early","1"
86,102644,102607,0.5,2,73.5,3,5,82,0,1,80,2,5,101,"Hard",3,"Mo",1,"early","0"
87,103252,102238,0.666666666666667,3,65.3333333333333,1,3.33333333333333,80.3333333333333,0,1,40,0,0,57,"Hard",3,"Mo",1,"early","1"
88,103819,103507,0.5,2,64.5,6.5,2.5,64.5,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
89,102765,102103,0.75,4,78.5,5.5,2.25,105,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
90,102021,101647,NA,0,NA,NA,NA,NA,0,1,70,2,3,83,"Hard",3,"Mo",1,"early","1"
91,103066,101320,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
92,102785,102563,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
93,101964,102854,0,1,79,8,5,82,0.666666666666667,3,57,3,3.66666666666667,83.6666666666667,"Hard",3,"Mo",1,"early","0"
94,102494,103082,0.5,2,92.5,2,3.5,108.5,0.8,5,103,7.2,2,132.6,"Hard",3,"Mo",1,"early","1"
95,102227,103292,NA,0,NA,NA,NA,NA,0.5,2,78,1.5,2,93.5,"Hard",3,"Mo",1,"early","0"
96,102562,102035,0,1,64,2,3,84,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
97,102950,101820,0,1,90,1,3,101,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
98,102162,102770,NA,0,NA,NA,NA,NA,0.5,2,55.5,0.5,0.5,73,"Hard",3,"Mo",1,"early","0"
99,102998,101735,0.5,2,82.5,8,3.5,115,0.5,2,83.5,8.5,3,115,"Hard",3,"Mo",1,"early","1"
100,102239,102796,NA,0,NA,NA,NA,NA,0.75,4,65,4.5,4,82.5,"Hard",3,"Mo",1,"early","0"
101,102607,103163,0,1,80,2,5,101,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
102,103507,103252,NA,0,NA,NA,NA,NA,0.666666666666667,3,65.3333333333333,1,3.33333333333333,80.3333333333333,"Hard",3,"Mo",1,"early","1"
103,102021,102103,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","1"
104,102563,101320,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
105,102494,102854,0.5,2,92.5,2,3.5,108.5,0.666666666666667,3,57,3,3.66666666666667,83.6666666666667,"Hard",3,"Mo",1,"early","0"
106,102562,103292,0,1,64,2,3,84,0.5,2,78,1.5,2,93.5,"Hard",3,"Mo",1,"early","0"
107,102770,101820,0.5,2,55.5,0.5,0.5,73,NA,0,NA,NA,NA,NA,"Hard",3,"Mo",1,"early","0"
108,102998,102796,0.5,2,82.5,8,3.5,115,0.75,4,65,4.5,4,82.5,"Hard",3,"Mo",1,"early","0"
109,103507,102607,NA,0,NA,NA,NA,NA,0,1,80,2,5,101,"Hard",3,"Mo",1,"early","0"
