tourney_date,tourney_name,surface,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,w_SvGms,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,l_SvGms,winner_rank,loser_rank,winner_rank_points,loser_rank_points
20000522,St. Poelten,Clay,102854,Sjeng Schalken,R,193,NED,23.7,102024,Hernan Gumy,R,188,ARG,28.2,6-3 6-4,3,88,3,4,64,33,25,15,1,3,10,0,0,61,32,17,17,2,6,9,39,92,841,453
20000522,St. Poelten,Clay,102548,Juan Antonio Marin,R,175,CRC,25.2,102533,Jens Knippschild,R,190,GER,25.2,6-3 6-3,3,59,1,1,56,36,25,11,3,4,9,4,5,70,39,25,12,3,7,9,77,109,541,372
20000522,St. Poelten,Clay,103182,Markus Hipfl,R,178,AUT,22,101806,Marc Kevin Goellner,R,196,GER,29.6,7-6(5) 3-6 6-2,3,111,2,1,95,64,42,22,2,5,15,11,3,101,58,38,26,0,3,14,115,381,356,66
20000522,St. Poelten,Clay,102905,Stefan Koubek,L,175,AUT,23.3,102104,Christian Ruud,R,188,NOR,27.7,6-3 6-4,3,70,0,5,60,28,20,15,4,7,10,0,3,53,27,17,8,5,10,9,31,87,941,474
20000522,St. Poelten,Clay,102776,Andrew Ilie,R,180,AUS,24,103781,Jurgen Melzer,L,183,AUT,19,6-4 7-6(2),3,82,6,4,84,38,29,20,5,8,11,0,3,67,36,22,15,1,5,11,52,437,762,56
20000522,St. Poelten,Clay,101969,Orlin Stanoytchev,R,185,BUL,28.6,102567,George Bastl,R,183,SUI,25.1,3-6 6-3 6-3,3,104,7,4,79,48,32,15,6,10,13,1,4,76,43,27,15,4,10,14,105,75,382,569
20000522,St. Poelten,Clay,101843,Sergi Bruguera,R,188,ESP,29.3,102238,Alberto Berasategui,R,173,ESP,26.8,6-3 2-6 6-3,3,92,2,0,72,47,37,5,8,13,13,0,7,85,56,30,13,4,10,13,213,82,159,494
20000522,St. Poelten,Clay,101543,Jeff Tarango,L,180,USA,31.5,102882,Mark Philippoussis,R,196,AUS,23.5,1-6 6-4 6-3,3,81,5,2,80,46,37,18,4,6,13,13,4,65,34,27,19,2,4,13,64,25,669,1145
20000522,St. Poelten,Clay,102287,Albert Portas,R,188,ESP,26.5,102247,Andrea Gaudenzi,R,183,ITA,26.8,6-2 6-0,3,58,1,1,45,22,19,12,1,1,7,2,0,46,32,14,5,1,6,7,71,74,589,575
20000522,St. Poelten,Clay,102869,Galo Blanco,R,173,ESP,23.6,103082,Markus Hantschk,R,188,GER,22.5,6-4 6-2,3,73,6,1,52,32,25,11,3,4,9,1,2,59,31,21,11,5,9,9,70,94,593,428
20000522,St. Poelten,Clay,102446,Andrei Medvedev,R,193,UKR,25.7,103294,Christophe Rochus,R,170,BEL,21.4,6-4 6-4,3,75,4,2,67,38,29,12,4,6,10,0,1,74,45,29,10,8,12,10,21,93,1191,445
20000522,St. Poelten,Clay,102318,Andrei Pavel,R,183,ROU,26.3,102998,Jan Michael Gambill,R,190,USA,22.9,6-3 7-5,3,81,1,1,66,46,26,11,3,6,10,8,6,61,34,22,8,2,8,11,43,67,813,621
20000522,St. Poelten,Clay,102548,Juan Antonio Marin,R,175,CRC,25.2,102854,Sjeng Schalken,R,193,NED,23.7,4-6 6-3 6-4,3,131,0,5,99,59,38,20,10,14,15,5,8,84,44,31,19,6,11,14,77,39,541,841
20000522,St. Poelten,Clay,103182,Markus Hipfl,R,178,AUT,22,102905,Stefan Koubek,L,175,AUT,23.3,6-2 6-1,3,56,1,0,39,25,19,10,0,0,7,4,3,56,31,17,9,5,10,8,115,31,356,941
20000522,St. Poelten,Clay,102776,Andrew Ilie,R,180,AUS,24,101969,Orlin Stanoytchev,R,185,BUL,28.6,4-6 6-3 6-2,3,98,10,4,79,45,34,17,4,7,14,4,7,74,38,24,16,3,8,13,52,105,762,382
20000522,St. Poelten,Clay,101543,Jeff Tarango,L,180,USA,31.5,101843,Sergi Bruguera,R,188,ESP,29.3,6-4 6-1,3,72,5,1,52,37,33,4,1,1,8,3,2,68,35,21,14,6,10,9,64,213,669,159
20000522,St. Poelten,Clay,102287,Albert Portas,R,188,ESP,26.5,102869,Galo Blanco,R,173,ESP,23.6,6-7(6) 6-3 6-4,3,127,3,2,95,67,49,19,2,3,16,6,2,97,57,41,22,7,10,15,71,70,589,593
20000522,St. Poelten,Clay,102318,Andrei Pavel,R,183,ROU,26.3,102446,Andrei Medvedev,R,193,UKR,25.7,6-4 2-6 6-2,3,101,3,1,68,45,30,14,0,3,13,5,3,113,68,45,17,11,15,13,43,21,813,1191
20000522,St. Poelten,Clay,102548,Juan Antonio Marin,R,175,CRC,25.2,103182,Markus Hipfl,R,178,AUT,22,6-3 6-4,3,85,3,2,69,44,29,13,5,7,10,1,2,61,43,23,9,3,7,9,77,115,541,356
20000522,St. Poelten,Clay,102776,Andrew Ilie,R,180,AUS,24,101543,Jeff Tarango,L,180,USA,31.5,7-5 6-3,3,72,11,2,57,30,25,15,0,1,11,5,1,59,37,21,14,5,8,10,52,64,762,669
20000522,St. Poelten,Clay,102318,Andrei Pavel,R,183,ROU,26.3,102287,Albert Portas,R,188,ESP,26.5,2-6 6-3 6-2,3,89,3,2,74,50,31,14,3,6,13,2,2,70,40,27,16,2,6,12,43,71,813,589
20000522,St. Poelten,Clay,102776,Andrew Ilie,R,180,AUS,24,102548,Juan Antonio Marin,R,175,CRC,25.2,6-1 7-6(3),3,85,4,3,68,34,29,20,3,3,10,1,2,71,44,26,15,5,7,9,52,77,762,541
20000522,St. Poelten,Clay,102318,Andrei Pavel,R,183,ROU,26.3,102776,Andrew Ilie,R,180,AUS,24,7-5 3-6 6-2,3,137,7,2,104,73,46,14,5,9,14,4,7,120,52,32,32,15,21,15,43,52,813,762
20000501,Munich,Clay,102358,Thomas Enqvist,R,190,SWE,26.1,102318,Andrei Pavel,R,183,ROU,26.2,3-6 6-4 6-2,3,102,9,2,82,57,41,15,7,9,14,9,1,102,79,47,14,13,16,13,9,83,1749,485
20000501,Munich,Clay,103344,Ivan Ljubicic,R,193,CRO,21.1,103381,Andy Fahlke,R,185,GER,20.9,6-3 6-4,3,75,14,0,58,31,26,16,4,5,10,4,6,68,43,28,10,11,14,9,86,185,476,180
20000501,Munich,Clay,102562,Jiri Novak,R,190,CZE,25.1,102783,Rainer Schuettler,R,180,GER,24,6-1 3-2 RET,3,48,1,1,36,25,21,7,1,1,6,2,3,47,27,18,6,5,8,7,42,68,822,583
20000501,Munich,Clay,101792,Slava Dosedel,R,183,CZE,29.7,102234,Oliver Gross,R,185,GER,26.8,6-3 6-2,3,66,0,0,50,40,30,9,3,3,9,0,1,64,46,26,9,8,11,8,54,201,724,164
20000501,Munich,Clay,103163,Tommy Haas,R,188,GER,22,102184,David Prinosil,R,185,GER,27.1,6-1 4-2 RET,3,48,5,2,41,23,18,10,3,4,7,2,2,41,22,12,7,1,5,7,19,94,1230,418
