player1_id,player2_id,player1_age,player2_age,player1_ht,player2_ht,p1_hand_R,p1_hand_L,p1_hand_U,p2_hand_R,p2_hand_L,p2_hand_U,date,player1_rank,player1_rank_pts,player2_rank,player2_rank_pts,log_rank_diff,rankpoints_diff,ace_diff,df_diff,in1_pct_diff,won1_pct_diff,sv_win_pct_diff,bp_saved_pct_diff,bp_per_game_diff,p1_ace_percent,p1_doublefault_percent,p1_1in_percent,p1_1won_percent,p1_serve_win_percent,p1_breakp_saved,p1_breakp_succeed,p2_ace_percent,p2_doublefault_percent,p2_1in_percent,p2_1won_percent,p2_serve_win_percent,p2_breakp_saved,p2_breakp_succeed,player1_ace,player1_df,player1_svpt,player1_1stin,player1_1stwon,player1_2ndwon,player1_bpsaved,player1_bpfaced,player1_svgms,player2_ace,player2_df,player2_svpt,player2_1stin,player2_1stwon,player2_2ndwon,player2_bpsaved,player2_bpfaced,player2_svgms,y
102562,102035,24.8,27.8,190,183,1,0,0,1,0,0,20000110,38,831,76,514,0.693147180559945,317,0.0276923076923077,0.00615384615384616,0.086923076923077,0.0832049306625579,0.126923076923077,-0.277777777777778,-1.27272727272727,0.107692307692308,0.0461538461538462,0.676923076923077,0.727272727272727,0.676923076923077,0.363636363636364,0.5,0.08,0.04,0.59,0.644067796610169,0.55,1.63636363636364,0.222222222222222,7,3,65,44,32,12,2,4,11,8,4,100,59,38,17,14,18,11,1
102950,101820,22.8,29.1,180,201,1,0,0,1,0,0,20000110,53,707,46,761,-0.141650517063027,-54,-0.024860853432282,0.0660482374768089,-0.0304267161410019,-0.141666666666667,-0.205194805194805,-0.466666666666667,0.166666666666667,0.0363636363636364,0.127272727272727,0.581818181818182,0.625,0.509090909090909,0.5,0.8,0.0612244897959184,0.0612244897959184,0.612244897959184,0.766666666666667,0.714285714285714,0.333333333333333,0.333333333333333,2,7,55,32,20,8,1,5,10,3,3,49,30,23,12,2,3,9,0
102162,102770,27,23.7,188,185,1,0,0,1,0,0,20000110,56,685,66,585,0.164303051291276,100,-0.108695652173913,0.0540184453227932,0.112648221343874,-0.248251748251748,-0.223978919631094,-0.363636363636364,1,0,0.0757575757575758,0.590909090909091,0.615384615384615,0.515151515151515,1.375,0.363636363636364,0.108695652173913,0.0217391304347826,0.478260869565217,0.863636363636364,0.739130434782609,0.375,0,0,5,66,39,24,10,7,11,8,5,1,46,22,19,15,3,3,8,0
102998,101735,22.6,29.7,190,196,1,0,0,1,0,0,20000110,57,683,80,475,0.338975366839331,208,0.004420866489832,0.00618921308576481,-0.0508399646330681,0.025709219858156,0.061450044208665,0.1,-0.0904761904761905,0.183908045977011,0.0574712643678161,0.551724137931034,0.791666666666667,0.689655172413793,0.266666666666667,0.5,0.179487179487179,0.0512820512820513,0.602564102564103,0.765957446808511,0.628205128205128,0.357142857142857,0.6,16,5,87,48,38,22,2,4,15,14,4,78,47,36,13,2,5,14,1
102607,103163,24.5,21.7,190,188,1,0,0,1,0,0,20000110,211,157,11,1612,-2.9539628606777,-1455,0.126905352711804,-0.043956043956044,0.264267990074442,0.155555555555556,0.180786954980503,0.333333333333333,-0.363636363636364,0.225806451612903,0,0.725806451612903,0.822222222222222,0.774193548387097,0.181818181818182,0,0.0989010989010989,0.043956043956044,0.461538461538462,0.666666666666667,0.593406593406593,0.545454545454545,0.333333333333333,14,0,62,45,37,11,2,2,11,9,4,91,42,28,26,4,6,11,1
103507,103252,19.9,21.3,183,175,1,0,0,1,0,0,20000110,45,768,48,726,0.0645385211375715,42,0.00952380952380952,0.0142857142857143,-0.238095238095238,0.0681114551083591,0.00476190476190474,0.175,-0.0666666666666667,0.0285714285714286,0.0428571428571429,0.485714285714286,0.647058823529412,0.557142857142857,1,0.2,0.019047619047619,0.0285714285714286,0.723809523809524,0.578947368421053,0.552380952380952,1.06666666666667,0.375,4,6,140,68,44,34,12,15,15,2,3,105,76,44,14,10,16,15,1
102021,102103,27.8,27.3,175,180,1,0,0,1,0,0,20000110,50,722,167,219,1.20597080698861,503,0.0148809523809524,-0.00297619047619048,-0.0610119047619048,0.00780379041248602,-0.0148809523809523,-0.111111111111111,-0.1875,0.0357142857142857,0.0178571428571429,0.616071428571429,0.623188405797101,0.589285714285714,0.5625,0.444444444444444,0.0208333333333333,0.0208333333333333,0.677083333333333,0.615384615384615,0.604166666666667,0.75,0.333333333333333,4,2,112,69,43,23,5,9,16,2,2,96,65,40,18,8,12,16,1
102563,101320,24.7,33,180,185,1,0,0,1,0,0,20000110,43,785,60,626,0.333144446528538,159,-0.00181598062953995,0.0302663438256659,-0.111985472154964,-0.12,-0.171004842615012,-0.444444444444444,-0.125,0.0338983050847458,0.101694915254237,0.423728813559322,0.68,0.525423728813559,1,0.444444444444444,0.0357142857142857,0.0714285714285714,0.535714285714286,0.8,0.696428571428571,1.125,0,2,6,59,25,17,14,5,9,9,2,4,56,30,24,15,9,9,8,0
102494,102854,25,23.3,193,193,1,0,0,1,0,0,20000110,115,344,37,843,-1.13401421571903,-499,-0.113207547169811,-0.0592519033432638,0.0142336974511751,-0.268318965517241,-0.18669314796425,-0.380952380952381,0.402777777777778,0,0.0350877192982456,0.56140350877193,0.59375,0.473684210526316,0.777777777777778,0.714285714285714,0.113207547169811,0.0943396226415094,0.547169811320755,0.862068965517241,0.660377358490566,0.375,0.333333333333333,0,2,57,32,19,8,2,7,9,6,5,53,29,25,10,2,3,8,0
102562,103292,24.8,21,190,175,1,0,0,1,0,0,20000110,38,831,72,553,0.63907995928967,278,0.0247933884297521,-0.00413223140495868,-0.102617079889807,0.0637672186967961,-0.0110192837465565,-0.0494505494505494,0.0588235294117647,0.0247933884297521,0.0413223140495868,0.586776859504132,0.690140845070423,0.59504132231405,0.823529411764706,0.357142857142857,0,0.0454545454545455,0.689393939393939,0.626373626373626,0.606060606060606,0.764705882352941,0.307692307692308,3,5,121,71,49,23,9,14,17,0,6,132,91,57,23,9,13,17,0
102770,101820,23.7,29.1,185,201,1,0,0,1,0,0,20000110,66,585,46,761,-0.36101334553733,-176,-0.0713708591435497,0.03851333153784,-0.0842984109884191,-0.161347517730496,-0.0969566388365204,-0.5,0.0833333333333334,0.0425531914893617,0.0638297872340425,0.51063829787234,0.583333333333333,0.51063829787234,0.75,0.666666666666667,0.113924050632911,0.0253164556962025,0.594936708860759,0.74468085106383,0.607594936708861,0.666666666666667,0.166666666666667,2,3,47,24,14,10,2,6,8,9,2,79,47,35,13,5,6,9,0
102998,102796,22.6,23.6,190,188,1,0,0,1,0,0,20000110,57,683,14,1498,-1.40399393821929,-815,0.082010582010582,0.0423280423280423,-0.19047619047619,-0.0666666666666667,-0.08994708994709,-0.3,0.777777777777778,0.12962962962963,0.0740740740740741,0.444444444444444,0.708333333333333,0.592592592592593,1.11111111111111,0.3,0.0476190476190476,0.0317460317460317,0.634920634920635,0.775,0.682539682539683,0.333333333333333,0,7,4,54,24,17,15,7,10,9,3,2,63,40,31,12,3,3,9,0
103507,102607,19.9,24.5,183,190,1,0,0,1,0,0,20000110,45,768,211,157,1.54519564370575,611,0.0100840336134454,0.0478991596638655,-0.241176470588235,-0.0444444444444444,-0.0260504201680672,-0.26984126984127,0.153846153846154,0.0571428571428571,0.0714285714285714,0.5,0.685714285714286,0.585714285714286,0.692307692307692,0.555555555555556,0.0470588235294118,0.0235294117647059,0.741176470588235,0.73015873015873,0.611764705882353,0.538461538461538,0.285714285714286,4,5,70,35,24,17,4,9,13,4,2,85,63,46,6,5,7,13,0
101320,102021,33,27.8,185,175,1,0,0,1,0,0,20000110,60,626,50,722,-0.182321556793954,-96,0.0705882352941176,0.0558823529411765,0.132352941176471,-0.012987012987013,0.0117647058823529,0.0833333333333334,0.340909090909091,0.0705882352941176,0.0705882352941176,0.647058823529412,0.672727272727273,0.6,1.09090909090909,0.25,0,0.0147058823529412,0.514705882352941,0.685714285714286,0.588235294117647,0.75,0.333333333333333,6,6,85,55,37,14,9,12,11,0,1,68,35,24,16,6,9,12,0
102854,103292,23.3,21,193,175,1,0,0,1,0,0,20000110,37,843,72,553,0.665748206371831,290,0.025,-0.0125,-0.183333333333333,-0.190040650406504,-0.170833333333333,-0.363636363636364,0.571428571428571,0.0416666666666667,0.0208333333333333,0.5,0.541666666666667,0.479166666666667,1.57142857142857,0.363636363636364,0.0166666666666667,0.0333333333333333,0.683333333333333,0.731707317073171,0.65,1,0,2,1,48,24,13,10,7,11,7,1,2,60,41,30,9,8,8,8,0
101820,102796,29.1,23.6,201,188,1,0,0,1,0,0,20000110,46,761,14,1498,-1.18958406687384,-737,-0.0363636363636363,0.0909090909090909,-0.0727272727272727,-0.028673835125448,-0.163636363636364,-0.5,0.75,0.0909090909090909,0.127272727272727,0.490909090909091,0.777777777777778,0.509090909090909,1,0.5,0.127272727272727,0.0363636363636364,0.563636363636364,0.806451612903226,0.672727272727273,0.25,0,5,7,55,27,21,7,4,8,8,7,2,55,31,25,12,2,2,8,0
102021,102607,27.8,24.5,175,190,1,0,0,1,0,0,20000110,50,722,211,157,1.43983512804792,565,0.00542005420054201,-0.0222222222222222,-0.178048780487805,0.108660130718954,0.0563685636856369,0.133333333333333,-0.153846153846154,0.0609756097560976,0,0.621951219512195,0.705882352941177,0.634146341463415,0.769230769230769,0.2,0.0555555555555556,0.0222222222222222,0.8,0.597222222222222,0.577777777777778,0.923076923076923,0.333333333333333,5,0,82,51,36,16,8,10,13,5,2,90,72,43,9,8,12,13,1
102796,103292,23.6,21,188,175,1,0,0,1,0,0,20000110,14,1498,72,553,1.6376087894008,945,0.0540979800325052,-0.024146737868586,0.0139308103087996,0.140732265446224,0.140469003947063,0.0714285714285714,-0.272727272727273,0.0677966101694915,0.0169491525423729,0.644067796610169,0.684210526315789,0.661016949152542,0.636363636363636,0.428571428571429,0.0136986301369863,0.0410958904109589,0.63013698630137,0.543478260869565,0.520547945205479,0.909090909090909,0.5,4,1,59,38,26,13,4,7,11,1,3,73,46,25,13,5,10,11,1
102021,102796,27.8,23.6,175,188,1,0,0,1,0,0,20000110,50,722,14,1498,-1.27296567581289,-776,-0.039553752535497,-0.0527383367139959,-0.0453008789722785,-0.116296296296296,-0.0601757944557133,0.0714285714285715,0.2,0.0294117647058824,0.0392156862745098,0.529411764705882,0.703703703703704,0.549019607843137,0.666666666666667,0.5,0.0689655172413793,0.0919540229885057,0.574712643678161,0.82,0.609195402298851,0.466666666666667,0.571428571428571,3,4,102,54,38,18,5,10,15,6,8,87,50,41,12,3,7,15,0
102880,101902,23.9,29.4,201,180,1,0,0,0,1,0,20001016,88,499,107,368,0.195492019983699,131,0.0663582286847323,0.0214144084600132,0.0592200925313946,0.0700104493207941,0.0634500991407799,0.111111111111111,-0.263736263736264,0.0898876404494382,0.0449438202247191,0.741573033707865,0.742424242424242,0.651685393258427,0.428571428571429,0.333333333333333,0.0235294117647059,0.0235294117647059,0.682352941176471,0.672413793103448,0.588235294117647,0.692307692307692,0.444444444444444,8,4,89,66,49,9,4,6,14,2,2,85,58,39,11,5,9,13,1
103917,102025,18.7,28.6,190,185,1,0,0,1,0,0,20001016,446,50,76,557,-1.76958561173373,-507,-0.0656190891895824,0.0194965808235123,-0.115670013094718,-0.133333333333333,-0.109995635093846,-0.1,0.104395604395604,0.0229885057471264,0.0574712643678161,0.517241379310345,0.666666666666667,0.586206896551724,0.461538461538462,0.5,0.0886075949367089,0.0379746835443038,0.632911392405063,0.8,0.69620253164557,0.357142857142857,0.4,2,5,87,45,30,21,3,6,13,7,3,79,50,40,15,3,5,14,0
